id,label_en,label_fr,obsolete
"Excellent","Excellent","Excellent","0"
"Très bon","Very good","Très bon","0"
"Bon","Good","Bon","0"
"Moyen","Average","Moyen","0"
"Mauvais","Bad","Mauvais","0"
